Date_Time (GMT), Event, Speed (cm/sec)
2020-01-01 03:29, flood,39
2020-01-01 05:26, slack,-
2020-01-01 06:51, ebb,-24
2020-01-01 09:20, slack,-
2020-01-01 14:17, flood,33
2020-01-01 17:32, slack,-
2020-01-01 19:03, ebb,-26
2020-01-01 21:50, slack,-
2020-01-02 04:11, flood,35
2020-01-02 06:08, slack,-
2020-01-02 07:33, ebb,-23
2020-01-02 10:14, slack,-
2020-01-02 14:53, flood,32
2020-01-02 18:20, slack,-
2020-01-02 19:45, ebb,-24
2020-01-02 22:38, slack,-
2020-01-03 03:23, flood,33
2020-01-03 06:56, slack,-
2020-01-03 08:21, ebb,-22
2020-01-03 11:08, slack,-
2020-01-03 15:35, flood,32
2020-01-03 19:08, slack,-
2020-01-03 20:33, ebb,-23
2020-01-03 23:20, slack,-
2020-01-04 03:59, flood,34
2020-01-04 07:38, slack,-
2020-01-04 09:09, ebb,-22
2020-01-04 11:56, slack,-
2020-01-04 16:23, flood,32
2020-01-04 19:56, slack,-
2020-01-04 21:27, ebb,-22
2020-01-05 00:02, slack,-
2020-01-05 04:41, flood,35
2020-01-05 08:26, slack,-
2020-01-05 09:57, ebb,-22
2020-01-05 12:44, slack,-
2020-01-05 17:11, flood,32
2020-01-05 20:44, slack,-
2020-01-05 22:15, ebb,-23
2020-01-06 00:44, slack,-
2020-01-06 05:23, flood,36
2020-01-06 09:14, slack,-
2020-01-06 10:51, ebb,-24
2020-01-06 13:32, slack,-
2020-01-06 17:59, flood,34
2020-01-06 21:38, slack,-
2020-01-06 23:09, ebb,-24
2020-01-07 01:32, slack,-
2020-01-07 06:05, flood,38
2020-01-07 10:02, slack,-
2020-01-07 11:39, ebb,-27
2020-01-07 14:14, slack,-
2020-01-07 18:53, flood,36
2020-01-07 22:32, slack,-
2020-01-08 00:03, ebb,-26
2020-01-08 02:14, slack,-
2020-01-08 06:53, flood,41
2020-01-08 10:44, slack,-
2020-01-08 12:27, ebb,-30
2020-01-08 15:02, slack,-
2020-01-08 19:41, flood,40
2020-01-08 23:20, slack,-
2020-01-09 00:51, ebb,-28
2020-01-09 02:56, slack,-
2020-01-09 07:41, flood,44
2020-01-09 11:32, slack,-
2020-01-09 13:15, ebb,-33
2020-01-09 15:44, slack,-
2020-01-09 20:41, flood,44
2020-01-10 00:08, slack,-
2020-01-10 01:39, ebb,-31
2020-01-10 03:44, slack,-
2020-01-10 08:35, flood,47
2020-01-10 12:14, slack,-
2020-01-10 14:03, ebb,-36
2020-01-10 16:32, slack,-
2020-01-10 21:35, flood,47
2020-01-11 00:56, slack,-
2020-01-11 02:33, ebb,-33
2020-01-11 04:32, slack,-
2020-01-11 09:29, flood,50
2020-01-11 13:02, slack,-
2020-01-11 14:51, ebb,-38
2020-01-11 17:14, slack,-
2020-01-11 22:23, flood,51
2020-01-12 01:44, slack,-
2020-01-12 03:21, ebb,-35
