Date_Time (GMT), Event, Speed (cm/sec)
2021-02-24 02:02 AM, slack, -
2021-02-24 06:41 AM, flood, 38.7
2021-02-24 10:26 AM, slack, -
2021-02-24 12:09 PM, ebb, -28.0
2021-02-24 02:44 PM, slack, -
2021-02-24 07:35 PM, flood, 38.6
2021-02-24 11:02 PM, slack, -
2021-02-25 12:39 AM, ebb, -27.1
2021-02-25 02:44 AM, slack, -
2021-02-25 07:29 AM, flood, 43.0
2021-02-25 11:14 AM, slack, -
2021-02-25 12:57 PM, ebb, -31.5
2021-02-25 03:26 PM, slack, -
2021-02-25 08:23 PM, flood, 43.3
2021-02-25 11:50 PM, slack, -
2021-02-26 01:21 AM, ebb, -30.3
2021-02-26 03:32 AM, slack, -
2021-02-26 08:23 AM, flood, 47.7
2021-02-26 11:56 AM, slack, -
2021-02-26 01:45 PM, ebb, -34.9
2021-02-26 04:08 PM, slack, -
2021-02-26 09:11 PM, flood, 48.3
2021-02-27 12:32 AM, slack, -
2021-02-27 02:15 AM, ebb, -33.5
2021-02-27 04:14 AM, slack, -
2021-02-27 09:17 AM, flood, 52.4
2021-02-27 12:44 PM, slack, -
2021-02-27 02:33 PM, ebb, -37.9
2021-02-27 04:50 PM, slack, -
2021-02-27 09:59 PM, flood, 52.5
2021-02-28 01:20 AM, slack, -
2021-02-28 03:03 AM, ebb, -36.4
2021-02-28 05:02 AM, slack, -
2021-02-28 10:05 AM, flood, 55.7
2021-02-28 01:32 PM, slack, -
2021-02-28 03:21 PM, ebb, -40.2
2021-02-28 05:32 PM, slack, -
2021-02-28 10:41 PM, flood, 55.2
2021-03-01 02:08 AM, slack, -
2021-03-01 03:51 AM, ebb, -38.5
2021-03-01 05:50 AM, slack, -
2021-03-01 10:53 AM, flood, 56.7
2021-03-01 02:20 PM, slack, -
2021-03-01 04:09 PM, ebb, -41.2
2021-03-01 06:20 PM, slack, -
2021-03-01 11:23 PM, flood, 55.8
2021-03-02 02:50 AM, slack, -
2021-03-02 04:33 AM, ebb, -39.6
2021-03-02 06:38 AM, slack, -
2021-03-02 11:41 AM, flood, 55.1
2021-03-02 03:14 PM, slack, -
2021-03-02 04:57 PM, ebb, -40.7
2021-03-02 07:02 PM, slack, -
